Taxon,state
Eophysalodes_inflata,fossil
Physalis hunickenii,fossil
Lycianthoides calicinum holotype COLO,fossil
Lycianthoides calicinum paratype COLO,fossil
Lycianthoides calicinum paratype DMNS im0839,fossil
"Physalis infinemundi holotype MPEF-Pb6434a,b",fossil
"Physalis infinemundi paratype MEPF-Pb6435a,b",fossil
Alkekengi officinarum,extant
Anisodus tanguticus,extant
Anthocercis ilicifolia,extant
Anthotroche pannosa,extant
Archiphysalis chamaesarachoides,extant
Athenaea cuspidata,extant
Athenaea fasciculata,extant
Atropa belladonna,extant
Atropanthe sinensis,extant
Benthamiella patagonica,extant
Bouchetia anomala,extant
Brachistus nelsonii,extant
Browallia americana,extant
Brugmansia suaveolens,extant
Brunfelsia australis,extant
Brunfelsia plowmaniana,extant
Calibrachoa excellens,extant
Calliphysalis carpenteri,extant
Capsicophysalis potosina,extant
Capsicum chacoense,extant
Capsicum eximium,extant
Capsicum flexuosum,extant
Cestrum alternifolium,extant
Cestrum aurantiacum,extant
Cestrum bracteatum,extant
Cestrum brevifolium,extant
Cestrum latifolium,extant
Cestrum megalophyllum,extant
Cestrum racemosum,extant
Cestrum reflexum,extant
Chamaesaracha coronopus,extant
Chamaesaracha rzedowskiana,extant
Coeloneurum ferrugineum,extant
Combera paradoxa,extant
Crenidium spinescens,extant
Cuatresia riparia,extant
Cyphanthera anthocercidea,extant
Darcyanthus spruceanus,extant
Datura ferox,extant
Deprea abra-patriciae,extant
Deprea bongaraensis,extant
Deprea glabra,extant
Deprea harlingiana,extant
Deprea macasiana,extant
Deprea maculatifolia,extant
Deprea pauciflora,extant
Deprea sagasteguii,extant
Deprea subtriflora,extant
Deprea zakii,extant
Discopodium penninervium,extant
Duboisia myoporoides,extant
Duckeodendron cestroides,extant
Dunalia brachyacantha,extant
Dyssochroma viridiflorum,extant
Eriolarynx australis,extant
Espadaea amoena,extant
Exodeconus integrifolius,extant
Fabiana imbricata,extant
Fabiana patagonica,extant
Fabiana viscosa,extant
Grammosolen dixonii,extant
Hawkesiophyton panamense,extant
Heteranthia decipiens,extant
Hunzikeria texana,extant
Hyoscyamus albus,extant
Hyoscyamus niger,extant
Iochroma arborescens,extant
Iochroma barbozae,extant
Iochroma cornifolium,extant
Iochroma tupayachianum,extant
Jaborosa caulescens,extant
Jaborosa lanigera,extant
Jaltomata auriculata,extant
Jaltomata bernardelloana,extant
Jaltomata bicolor,extant
Jaltomata bohsiana,extant
Jaltomata cajacayensis,extant
Jaltomata chotanae,extant
Jaltomata contumacensis,extant
Jaltomata darcyana,extant
Jaltomata dendroidea,extant
Jaltomata grandiflora,extant
Latua pubiflora,extant
Leptoglossis linifolia,extant
Leucophysalis grandiflora,extant
Lycianthes acapulcensis,extant
Lycianthes asarifolia,extant
Lycianthes ciliolata,extant
Lycianthes dejecta,extant
Lycianthes furcatistellata,extant
Lycianthes geminiflora,extant
Lycianthes heteroclita,extant
Lycianthes jaliscensis,extant
Lycianthes multiflora,extant
Lycianthes nitida,extant
Lycianthes peduncularis,extant
Lycianthes pilifera,extant
Lycianthes pringlei,extant
Lycianthes rantonnetii,extant
Nicotiana petunioides,extant
Nicotiana solanifolia,extant
Nierembergia linariifolia,extant
Nolana aplocaryoides,extant
Nolana divaricata,extant
Nothocestrum latifolium,extant
Oryctes nevadensis,extant
Pantacantha ameghinoi,extant
Petunia axillaris,extant
Physaliastrum echinatum,extant
Physaliastrum heterophyllum,extant
Physaliastrum japonicum,extant
Physaliastrum sinense,extant
Physalis longifolia,extant
Physalis viscosa,extant
Physochlaina infundibularis,extant
Physochlaina orientalis,extant
Plowmania nyctaginoides,extant
Protoschwenkia mandonii,extant
Przewalskia tangutica,extant
Quincula lobata,extant
Reyesia chilensis,extant
Salpichroa tristis,extant
Salpiglossis sinuata,extant
Saracha quitensis,extant
Schizanthus grahamii,extant
Schraderanthus viscosus,extant
Schultesianthus leucanthus,extant
Schwenckia americana,extant
Sclerophylax adnatifolia,extant
Sclerophylax arnottii,extant
Sclerophylax spinescens,extant
Scopolia carniolica,extant
Sessea corymbiflora,extant
Sessea stipulata,extant
Solandra brachycalyx,extant
Solandra grandiflora,extant
Solandra guttata,extant
Solandra maxima,extant
Solanum abutiloides,extant
Solanum accrescens,extant
Solanum acerifolium,extant
Vassobia breviflora,extant
Vestia foetida,extant
Withania somnifera,extant
Witheringia solanacea,extant
