Taxon,fruiting_calyx_LT,fruiting_calyx_ratio,calyx_lobe_LT,calyx_lobe_ratio,calyx_LT_lobe_ratio,base_inv,angled,lobe_sinus,teeth_presence,widest_veins,secon_veins_dist,secon_veins_fork,fruit_type,calyx_inflated,venation_pattern
Eophysalodes inflata,10.8,1.270588235,2,2,5.4,0,0,1,0,1,1,1,0,1,1
Physalis hunickenii,29.2,1.613259669,8.5,5.3125,3.435294118,1,1,1,0,1,1,,0,1,1
"Physalis infinemundi holotype MPEF-Pb6434a,b",25.2,1.909090909,7.9,1.436363636,3.189873418,1,1,1,0,1,1,1,0,1,1
"Physalis infinemundi paratype MEPF-Pb6435a,b",21.6,1.227272727,9.95,1.592,2.170854271,1,1,1,0,1,1,,,1,1
Lycianthoides calycina holotype COLO,2.73,0.93,0,,,0,0,,1,0,0,0,,0,1
Lycianthoides calycina paratype COLO,2.86,1.13,0,,,0,0,,1,0,0,0,,0,1
Lycianthoides calycina paratype DMNS im0839,1.12,0.9,0,,,0,0,,1,0,0,0,,0,1
Alkekengi officinarum,50.75,1.990196078,6.48,1.87826087,7.831790123,1,1,1,0,1,1,1,0,1,1
Anisodus tanguticus,67.5,2.25,16,1.6,4.21875,0,0,0,0,1,1,1,5,1,1
Anthocercis ilicifolia,5,1.428571429,3.1,2.48,1.612903226,0,0,0,0,1,0,0,1,0,1
Anthotroche pannosa,5.5,0.611111111,3,1.764705882,1.833333333,0,0,1,0,1,0,0,1,0,1
Archiphysalis chamaesarachoides,16,1.333333333,1.5,1.304347826,10.66666667,0,1,1,0,1,1,,0,1,1
Athenaea cuspidata,20.5,0.976190476,19.5,1.772727273,1.051282051,0,0,1,0,1,1,0,0,1,1
Athenaea fasciculata,3,0.6,1.8,1.5,1.666666667,0,0,0,0,1,0,0,0,0,1
Atropa belladonna,24,0.827586207,15,1.666666667,1.6,0,0,1,0,1,1,0,0,0,1
Atropanthe sinensis,33.5,1.196428571,10,0.833333333,3.35,0,0,1,0,1,1,1,5,1,1
Benthamiella patagonica,4.25,1.847826087,1.25,2.777777778,3.4,0,0,1,0,1,0,0,1,0,1
Bouchetia anomala,9.5,1.727272727,4.25,3.777777778,2.235294118,0,0,0,0,1,1,1,1,0,1
Brachistus nelsonii,11,0.916666667,6,1.846153846,1.833333333,0,0,1,0,1,1,1,0,1,1
Browallia americana,9,2,3.25,2.6,2.769230769,0,0,1,0,1,1,1,1,0,1
Brugmansia suaveolens,87.5,3.977272727,29.5,3.277777778,2.966101695,0,0,1,0,1,0,0,0,0,0
Brunfelsia australis,12.5,1.041666667,9,2.25,1.388888889,0,0,1,0,1,0,0,1,0,0
Brunfelsia plowmaniana,12,1.2,2,,6,0,0,1,0,1,1,0,1,0,0
Calibrachoa excellens,11.5,1.642857143,6.5,2.888888889,1.769230769,0,0,1,0,1,1,1,1,0,1
Calliphysalis carpenteri,15.5,1.148148148,3.6,1.058823529,4.305555556,0,0,1,0,1,1,1,0,1,1
Capsicum chacoense,1.5,0.333333333,0,,,0,0,,1,0,0,0,0,0,1
Capsicum eximium,1.5,0.375,0,,,0,0,,1,0,0,0,0,0,1
Capsicum flexuosum,1.1,0.244444444,0,,,0,0,,1,0,0,0,0,0,1
Capsicophysalis potosina,10,1,4.5,1.384615385,2.222222222,0,0,1,0,1,1,0,0,0,1
Cestrum alternifolium,4.75,0.766129032,2.3,1,2.065217391,0,0,1,0,1,0,0,0,0,1
Cestrum aurantiacum,7,0.875,2.5,0.5,2.8,0,0,1,0,1,0,0,0,0,1
Cestrum bracteatum,3,0.666666667,1.25,1,2.4,0,0,1,0,1,0,0,0,0,1
Cestrum brevifolium,4.75,0.766129032,2.3,1,2.065217391,0,0,1,0,1,0,0,0,0,1
Cestrum latifolium,4,1,2,1,2,0,0,1,0,1,0,0,0,0,1
Cestrum megalophyllum,2,2,1,1,2,0,0,1,0,1,0,0,0,0,1
Cestrum racemosum,3,1,2,1,1.5,0,0,1,0,1,0,0,0,0,1
Cestrum reflexum,3,1,2,2,1.5,0,0,1,0,1,0,0,0,0,1
Chamaesaracha coronopus,7.5,1,2.25,1.125,3.333333333,0,0,0,0,1,0,0,6,0,1
Chamaesaracha rzedowskiana,5,1,1.25,0.595238095,4,0,0,1,0,1,0,0,6,0,1
Coeloneurum ferrugineum,2,0.571428571,2,1.333333333,1,0,0,0,0,1,0,0,3,0,1
Combera paradoxa,7,0.509090909,5.5,2.2,1.272727273,0,0,1,0,1,1,0,1,0,1
Crenidium spinescens,1.75,0.777777778,0.5,1,3.5,0,0,0,0,0,0,0,1,0,1
Cuatresia riparia,11,1.222222222,1,0.769230769,11,0,0,0,0,1,1,0,0,0,1
Cyphanthera anthocercidea,4.25,0.944444444,3.3,3,1.287878788,0,0,0,0,1,0,0,1,0,1
Darcyanthus spruceanus,5.5,1,0.6,0.375,9.166666667,0,0,0,0,1,1,0,0,0,1
Datura ferox,4.25,0.274193548,4.75,1.9,0.894736842,0,0,1,0,0,0,0,1,0,0
Deprea abra-patriciae,10.5,0.677419355,2.5,,4.2,0,1,1,0,1,1,0,0,1,1
Deprea bongaraensis,21,1.235294118,,,,1,1,0,0,1,1,,0,1,1
Deprea glabra,11.5,,1.1,,10.45454545,1,1,0,0,1,1,,0,1,1
Deprea harlingiana,8.5,,,,,0,0,0,0,1,1,0,0,0,1
